2theta_deg,I
2.783234594187533e-10,28102.004
2.7863202991707317e-10,28085.693
2.789406004153931e-10,28082.291
2.7924917091371287e-10,28099.615
2.795577414120328e-10,28101.35
2.798663119103527e-10,28101.705
2.801748824086725e-10,28101.844
2.804834529069924e-10,28098.896
2.8079202340531225e-10,28089.887
2.8110059390363207e-10,28099.424
2.8140916440195195e-10,28113.666
2.817177349002718e-10,28121.857
2.8202630539859165e-10,28116.143
2.823348758969115e-10,28121.7
2.826434463952314e-10,28096.205
2.829520168935512e-10,28093.71
2.8326058739187115e-10,28088.338
2.8356915789019097e-10,28084.848
2.838777283885108e-10,28086.756
2.8418629888683067e-10,28094.508
2.8449486938515055e-10,28078.693
2.848034398834704e-10,28067.086
2.8511201038179025e-10,28073.867
2.854205808801101e-10,28091.662
2.8572915137843e-10,28106.893
2.860377218767498e-10,28126.035
2.8634629237506975e-10,28136.195
2.8665486287338957e-10,28126.709
2.8696343337170945e-10,28144.959
2.872720038700294e-10,28136.402
2.875805743683492e-10,28154.283
2.87889144866669e-10,28157.736
2.8819771536498895e-10,28147.66
2.885062858633088e-10,28138.207
2.8881485636162865e-10,28138.912
2.8912342685994847e-10,28131.654
2.8943199735826835e-10,28130.672
2.897405678565882e-10,28116.01
2.9004913835490805e-10,28115.127
2.90357708853228e-10,28120.725
2.906662793515478e-10,28128.336
2.909748498498676e-10,28124.586
2.9128342034818755e-10,28150.332
2.9159199084650737e-10,28176.193
2.9190056134482725e-10,28208.605
2.922091318431471e-10,28214.117
2.925177023414669e-10,28208.578
2.928262728397868e-10,28203.84
2.9313484333810675e-10,28212.29
2.9344341383642663e-10,28213.91
2.9375198433474645e-10,28230.752
2.940605548330663e-10,28242.41
2.943691253313862e-10,28250.557
2.94677695829706e-10,28256.156
2.949862663280259e-10,28263.643
2.9529483682634583e-10,28255.996
2.9560340732466565e-10,28280.244
2.9591197782298553e-10,28291.03
2.962205483213054e-10,28279.021
2.965291188196252e-10,28249.74
2.968376893179451e-10,28244.617
2.97146259816265e-10,28246.057
2.9745483031458485e-10,28247.691
2.977634008129047e-10,28247.398
2.9807197131122455e-10,28231.723
2.9838054180954443e-10,28207.906
2.9868911230786425e-10,28222.922
2.9899768280618413e-10,28221.787
2.99306253304504e-10,28211.861
2.996148238028238e-10,28212.787
2.999233943011437e-10,28225.527
3.002319647994636e-10,28222.064
3.0054053529778345e-10,28226.678
3.008491057961033e-10,28238.014
3.011576762944232e-10,28251.008
3.014662467927431e-10,28258.867
3.017748172910629e-10,28278.375
3.020833877893828e-10,28281.041
3.0239195828770265e-10,28261.984
3.027005287860225e-10,28251.309
3.0300909928434235e-10,28240.635
3.033176697826623e-10,28230.91
3.036262402809821e-10,28225.254
3.03934810779302e-10,28227.324
3.0424338127762185e-10,28230.266
3.0455195177594173e-10,28230.264
3.0486052227426155e-10,28226.705
3.0516909277258143e-10,28231.947
3.054776632709013e-10,28239.975
3.0578623376922113e-10,28262.281
3.0609480426754106e-10,28254.56
3.064033747658609e-10,28235.84
3.067119452641807e-10,28230.113
3.0702051576250063e-10,28234.1
3.0732908626082045e-10,28225.188
3.076376567591403e-10,28224.195
3.0794622725746015e-10,28205.65
3.0825479775578e-10,28203.234
3.085633682540999e-10,28200.2
3.0887193875241973e-10,28216.648
3.0918050925073955e-10,28226.602
3.094890797490595e-10,28233.363
3.097976502473793e-10,28212.414
3.1010622074569923e-10,28214.498
3.1041479124401905e-10,28236.871
3.107233617423389e-10,28246.229
3.110319322406588e-10,28257.414
3.113405027389786e-10,28260.475
3.116490732372985e-10,28243.701
3.119576437356184e-10,28219.238
3.122662142339382e-10,28222.309
3.1257478473225813e-10,28216.387
3.1288335523057795e-10,28215.762
3.131919257288979e-10,28215.633
3.135004962272177e-10,28214.676
3.1380906672553753e-10,28211.559
3.1411763722385746e-10,28208.633
3.144262077221773e-10,28223.518
3.1473477822049715e-10,28225.512
3.1504334871881703e-10,28239.873
3.1535191921713685e-10,28259.848
3.1566048971545673e-10,28248.465
3.159690602137766e-10,28254.082
3.1627763071209643e-10,28259.564
3.1658620121041636e-10,28261.71
3.1689477170873623e-10,28261.855
3.172033422070561e-10,28286.758
3.1751191270537593e-10,28292.371
3.1782048320369575e-10,28273.318
3.181290537020157e-10,28270.469
3.184376242003355e-10,28279.734
3.187461946986554e-10,28269.309
3.1905476519697526e-10,28275.393
3.193633356952951e-10,28277.348
3.1967190619361496e-10,28276.389
3.1998047669193483e-10,28274.293
3.2028904719025465e-10,28273.104
3.205976176885746e-10,28288.477
3.2090618818689446e-10,28300.648
3.2121475868521433e-10,28287.025
3.2152332918353416e-10,28278.73
3.2183189968185403e-10,28284.562
3.221404701801739e-10,28286.51
3.2244904067849373e-10,28282.016
3.227576111768136e-10,28286.63
3.2306618167513343e-10,28280.494
3.233747521734533e-10,28277.145
3.236833226717732e-10,28271.986
3.23991893170093e-10,28271.824
3.2430046366841293e-10,28283.543
3.246090341667328e-10,28290.77
3.249176046650527e-10,28302.87
3.2522617516337256e-10,28306.152
3.255347456616924e-10,28312.021
3.258433161600123e-10,28325.54
3.261518866583321e-10,28335.248
3.2646045715665196e-10,28339.125
3.2676902765497183e-10,28349.207
3.2707759815329166e-10,28367.865
3.2738616865161153e-10,28381.281
3.276947391499314e-10,28381.014
3.2800330964825123e-10,28387.078
3.2831188014657116e-10,28368.062
3.28620450644891e-10,28370.602
3.289290211432108e-10,28382.283
3.2923759164153073e-10,28384.885
3.2954616213985056e-10,28374.47
3.298547326381705e-10,28379.127
3.3016330313649026e-10,28385.682
3.3047187363481013e-10,28384.3
3.3078044413313006e-10,28384.506
3.3108901463144983e-10,28378.6
3.3139758512976976e-10,28375.402
3.3170615562808963e-10,28373.582
3.320147261264094e-10,28357.814
3.3232329662472933e-10,28365.732
3.326318671230492e-10,28370.838
3.3294043762136914e-10,28358.582
3.3324900811968896e-10,28346.174
3.335575786180088e-10,28344.309
3.338661491163287e-10,28348.074
3.3417471961464853e-10,28348.678
3.344832901129684e-10,28348.201
3.347918606112883e-10,28349.041
3.3510043110960806e-10,28338.85
3.35409001607928e-10,28351.223
3.357175721062478e-10,28352.334
3.3602614260456763e-10,28339.543
3.3633471310288756e-10,28340.176
3.3664328360120743e-10,28336.01
3.3695185409952736e-10,28326.027
3.372604245978472e-10,28309.795
3.37568995096167e-10,28308.338
3.378775655944869e-10,28304.379
3.3818613609280676e-10,28316.56
3.3849470659112663e-10,28318.516
3.3880327708944646e-10,28306.982
3.3911184758776633e-10,28299.719
3.394204180860862e-10,28301.584
3.3972898858440603e-10,28315.3
3.400375590827259e-10,28333.645
3.403461295810458e-10,28345.002
3.406547000793657e-10,28355.348
3.4096327057768554e-10,28345.643
3.412718410760054e-10,28337.139
3.4158041157432523e-10,28341.344
3.418889820726451e-10,28340.17
3.42197552570965e-10,28338.639
3.4250612306928486e-10,28334.426
3.428146935676047e-10,28326.459
3.4312326406592456e-10,28322.283
3.4343183456424444e-10,28319.906
3.4374040506256426e-10,28327.068
3.4404897556088413e-10,28337.361
3.44357546059204e-10,28335.344
3.4466611655752394e-10,28340.828
3.4497468705584376e-10,28343.31
3.4528325755416364e-10,28333.861
3.455918280524835e-10,28349.973
3.4590039855080334e-10,28355.99
3.462089690491232e-10,28356.062
3.465175395474431e-10,28362.834
3.468261100457629e-10,28351.584
3.471346805440828e-10,28330.277
3.4744325104240266e-10,28313.186
3.477518215407225e-10,28313.557
3.480603920390424e-10,28322.771
3.4836896253736224e-10,28314.43
3.4867753303568206e-10,28315.59
3.4898610353400194e-10,28306.447
3.492946740323218e-10,28297.092
3.4960324453064174e-10,28315.36
3.499118150289615e-10,28327.58
3.502203855272814e-10,28327.73
3.5052895602560126e-10,28327.104
3.508375265239211e-10,28324.521
3.51146097022241e-10,28307.793
3.5145466752056084e-10,28312.496
3.5176323801888066e-10,28332.627
3.520718085172006e-10,28332.871
3.5238037901552036e-10,28327.338
3.526889495138403e-10,28321.324
3.529975200121602e-10,28314.113
3.5330609051048004e-10,28325.547
3.536146610087999e-10,28329.26
3.5392323150711974e-10,28342.262
3.5423180200543966e-10,28339.48
3.545403725037595e-10,28328.424
3.548489430020793e-10,28320.842
3.5515751350039924e-10,28331.818
3.5546608399871906e-10,28342.922
3.557746544970389e-10,28344.771
3.560832249953588e-10,28351.465
3.5639179549367864e-10,28363.87
3.567003659919985e-10,28336.908
3.5700893649031844e-10,28320.117
3.5731750698863826e-10,28315.225
3.5762607748695814e-10,28300.188
3.57934647985278e-10,28291.145
3.582432184835979e-10,28284.846
3.585517889819177e-10,28267.424
3.5886035948023754e-10,28276.072
3.5916892997855746e-10,28287.617
3.594775004768773e-10,28287.162
3.5978607097519716e-10,28299.7
3.6009464147351704e-10,28310.379
3.6040321197183686e-10,28298.365
3.6071178247015674e-10,28274.389
3.6102035296847666e-10,28281.533
3.613289234667965e-10,28277.332
3.6163749396511636e-10,28284.576
3.6194606446343624e-10,28295.379
3.622546349617561e-10,28293.299
3.6256320546007594e-10,28271.65
3.628717759583958e-10,28269.404
3.631803464567157e-10,28285.658
3.634889169550355e-10,28279.732
3.637974874533554e-10,28268.275
3.6410605795167526e-10,28253.89
3.644146284499951e-10,28262.37
3.6472319894831496e-10,28253.707
3.650317694466349e-10,28259.781
3.6534033994495477e-10,28254.26
3.656489104432746e-10,28269.541
3.6595748094159447e-10,28288.62
3.6626605143991434e-10,28297.217
3.6657462193823416e-10,28301.28
3.6688319243655404e-10,28297.893
3.671917629348739e-10,28286.67
3.6750033343319374e-10,28289.617
3.678089039315136e-10,28293.287
3.681174744298335e-10,28290.242
3.684260449281533e-10,28292.71
3.687346154264732e-10,28302.002
3.6904318592479307e-10,28313.242
3.6935175642311294e-10,28322.266
3.6966032692143276e-10,28330.201
3.6996889741975264e-10,28340.41
3.702774679180725e-10,28333.916
3.7058603841639234e-10,28324.703
3.7089460891471227e-10,28308.006
