x,I
0.45444777259441804,29397.629
0.4557032333188087,29514.592
0.45695869404319933,29391.166
0.45821415476759,29296.49
0.4594696154919807,29189.062
0.4607250762163713,29100.336
0.46198053694076197,29050.684
0.4632359976651526,28927.38
0.46449145838954325,28898.895
0.4657469191139339,28875.809
0.46700237983832465,28856.95
0.4682578405627153,28762.143
0.46951330128710594,28791.203
0.4707687620114966,28704.121
0.47202422273588723,28735.611
0.4732796834602779,28749.174
0.4745351441846685,28784.855
0.4757906049090592,28809.992
0.47704606563344987,28721.807
0.4783015263578405,28667.57
0.47955698708223116,28658.242
0.4808124478066218,28677.639
0.48206790853101245,28723.428
0.4833233692554032,28703.082
0.48457882997979385,28592.717
0.4858342907041845,28572.262
0.48708975142857514,28576.543
0.4883452121529658,28608.852
0.4896006728773564,28641.79
0.49085613360174707,28553.213
0.4921115943261378,28502.951
0.49336705505052847,28476.035
0.4946225157749191,28485.885
0.49587797649930976,28475.232
0.4971334372237004,28481.977
0.49838889794809105,28389.852
0.49964435867248175,28380.256
0.5008998193968724,28375.0
0.5021552801212631,28382.06
0.5034107408456537,28380.979
0.5046662015700444,28343.23
0.505921662294435,28298.928
0.5071771230188257,28296.55
0.5084325837432163,28272.453
0.509688044467607,28277.602
0.5109435051919976,28293.69
0.5121989659163882,28229.762
0.5134544266407789,28228.004
0.5147098873651695,28230.318
0.5159653480895603,28258.404
0.5172208088139509,28263.867
0.5184762695383416,28245.777
0.5197317302627322,28206.406
0.5209871909871229,28218.262
0.5222426517115135,28190.22
0.5234981124359042,28201.426
0.5247535731602948,28196.162
0.5260090338846856,28151.373
0.5272644946090762,28124.55
0.5285199553334669,28133.365
0.5297754160578575,28143.592
0.5310308767822481,28159.873
0.5322863375066389,28164.635
0.5335417982310295,28135.676
0.5347972589554202,28122.85
0.5360527196798108,28121.104
0.5373081804042015,28109.375
0.5385636411285921,28116.275
0.5398191018529828,28085.275
0.5410745625773734,28045.43
0.5423300233017642,28052.61
0.5435854840261548,28039.383
0.5448409447505455,28043.13
0.5460964054749361,28036.37
0.5473518661993267,28029.502
0.5486073269237174,28053.729
0.549862787648108,28054.232
0.5511182483724987,28041.322
0.5523737090968893,28038.105
0.55362916982128,28041.227
0.5548846305456706,28045.541
0.5561400912700613,28052.488
0.5573955519944519,28039.137
0.5586510127188427,27999.248
0.5599064734432333,27998.062
0.5611619341676239,27978.926
0.5624173948920146,27973.006
0.5636728556164052,28007.041
0.564928316340796,28010.746
0.5661837770651866,28005.213
0.5674392377895773,28001.17
0.5686946985139679,27997.717
0.5699501592383586,28010.244
0.5712056199627492,27997.271
0.5724610806871399,27990.186
0.5737165414115305,27954.12
0.5749720021359211,27928.877
0.5762274628603119,27920.195
0.5774829235847025,27919.602
0.5787383843090932,27925.045
0.5799938450334838,27917.645
0.5812493057578746,27908.004
0.5825047664822652,27902.047
0.5837602272066559,27899.564
0.5850156879310465,27888.83
0.5862711486554372,27877.283
0.5875266093798278,27859.65
0.5887820701042185,27841.531
0.5900375308286091,27838.998
0.5912929915529997,27849.434
0.5925484522773904,27823.297
0.593803913001781,27820.197
0.5950593737261717,27802.031
0.5963148344505623,27801.04
0.597570295174953,27804.668
0.5988257558993437,27794.752
0.6000812166237344,27774.67
0.601336677348125,27761.646
0.6025921380725157,27746.227
0.6038475987969063,27743.973
0.605103059521297,27735.305
0.6063585202456876,27738.496
0.6076139809700782,27721.404
0.608869441694469,27708.705
0.6101249024188596,27694.71
